Name,Date,Rating,Review
Nivedita Nair,une 2021,5,"My 8 year old daughter and I loved it! Absolute laugh riot! Bought th kindle edition.Great fun book explaining the importance of choice, acceptance and democracy.
"
Kindle Customer,March 2018,1,"That was so sweet! The ending got me.. and the illustrations, omg super cute. I hope to buy the hardcover version some time soon. (Heres a tip -try reading it in John's voice, it just makes it better, especially stuff like ""and this is true""). Not sure if it's great for a very young child - kids don't understand phrases like ""it's a long story"" (my nephew will ask me - why is it a long story? What does that mean?). But I'd definitely recommend reading it to kids who are 8 years and above.
"
Nivedita Nair,une 2021,5,"Although I am from India and this book would not be of any use for us in the country. Our country is too backward and years away from making the civil rights progress for the LGBTQ community, I support the cause. Also, I have a nephew whom I would like to teach inclusion and how to be liberal in social aspects.The book was excellent and made me clap with joy at the ending, seeing democracy actually working. Lovely illustrations we're added bonus.PS: I would support John Oliver in everything he endeavors to do.
"
Sue,March 2018,5,"Thank you so much, John Oliver. Thank you so much for this. I am a queer woman living in a country which provides negative sanctions to those of us who choose to live and love outside what is considered normative. For every bunny who is different and different will always be special. ❤️
"
Aruna S.,March 2018,5,"For a good cause and surprisingly a refreshing read. I support John Oliver and the power of people that make a better world.
"
Aditi,March 2018,5,"Very good book. Recommended for younglings. Good quality print . Worth a read
"
Prashanth Rajkumar,March 2018,5,"Thoroughly enjoyed reading this fun book. Hope the copy that Mike's daughter bought, reaches Mike at the most opportune moment.
"
Gautam Kadan,July 2018,5,"I don't have a Kindle and I doubt I'll be able to afford the hardcover version if at all launched in India. But I love the idea behind the book and wholeheartedly support John Oliver's cause.
"
Kindle Customer,March 2018,1,"really good.
"
Amazon Customer,March 2018,5,"I read the sample and It was amazing. Although I don't have the money to buy this book, I encourage those that can afford it to buy it and read. Please show your support to those who are alienated by evil people like VP. Good job Mr. Oliver.
"
Subhdeep sarkar,April 2020,5,"I'm from India I haven't read the book but I'm here to support John Oliver the greatest satirist I've ever seen and I support Gay rights and LGBT community!! 🤗
"
Pranav,March 2018,5,"I am from India and I support the cause. I haven't bought this book yet. But I soon will. 👍 to John Oliver.
"
Nivedita Nair,une 2021,5,"I don't have the money to buy this, but this IS THE BETTER BUNDO BOOK! Love and support for the LGBTQ community <3
"
Kindle Customer,March 2018,1,"I am so glad John actually went ahead with this - I am going to get a copy as soon as I can.
"
Obuli Ramachandran,March 2018,5,"Perfect for introducing gay marriage to children when you're trying to raise inclusive kids! Love it!!
"
Raghavendra D.,March 2018,5,"Love it and am definitely waiting for it to get restocked to buy the hardcover and show my support !!
"
joey kaushik,March 2018,5,"Wonderful indeed, i love this mike pense's bunny. Even his name  is so awesome!! 😂😂
"
Tanya Jaison,March 2018,5,"This book is for kids but has a great message that even adults can learn.
"
N Kalia,une 2018,5,"Please launch the hardcover book in India! Please Please Please!
"
Amazon Customer,March 2018,5,"Just read this book to my youngest (was originally purchased for my eldest when she was 6. My youngest is now 5). He absolutely loved it and we talked about love and being different after we read it. Five years after purchase this is the book that keeps on giving great conversation starters with my kids of acceptance, love, and cute little animals.
"
Sahil,April 2018,5,"Side note: you may want to ignore all reviews that do not have “verified purchase” listed on them since it’s quite difficult to write a review on a product you don’t actually have.I found this book to be quite touching. The message is very positive and relevant in the world we live in today. The illustrations are bright and beautiful. As like many children’s movies, there are a few hidden adult references that will get a chuckle but the kids just won’t understand until they’re older. The message is that it’s beautiful to be different, and that’s something that I do want my children to learn at every age. I commend John Oliver for what he’s done and the charities he’s looking to support with sales of this book. I don’t think it takes away from the Pence family’s book at all, since people are just as easily able to purchase that book too. I, personally, felt uncomfortable purchasing the Pence book due to their book tour making a stop at focus on the family. I’m glad Oliver gave us an alternative option that supports all who live around the world, not just the ones who follow what’s always been. Happiness is the goal, not judgement of others, and this book presents that beautifully.
"
Prashant S.,March 2018,5,"I worked with someone who told me that one of the things they had to get across to their children was ""different isn't bad, it's just different"". That the point of the book. That it also pokes fun at Mike Pence is just a bonus that will be lost in children, but one look at the stink bug had me convinced. And the proceeds that would have gone to Last Week Tonight go th charity is a bonus.
"
Kaushik Banerjee,March 2018,5,"As soon as I saw this book on “John Oliver presents”, I knew I had to have a hardback copy – and yesterday it arrived!  This is such a lovely story – for children of all ages, for anyone who has ever felt lonely and / or different, or for those who just love a feel-good story.  The illustrations are just wonderful – anyone would fall in love with Wesley.  With the exception of the Stinkbug, all the characters look and act in an adorable manner (keep a look out for Phil and Dennis!).  They are primarily Friends (with a capital F), who love and support Marlon Bundo, because that is what friends do: “Everyone is different.  And different is not bad. … Different is Special”.  Each of the friends mentions ways in which they are different, so Marlon’s choices mark him out as just as unusual as someone who “reads the end of books before the beginnings”, and not as someone to be shunned or pilloried.  This book is about tolerance, open-mindedness and love – but also has strong lessons about the importance of democracy as a tool for positive change.  May Marlon and Wesley hop together for many, many years to come.
"
APerry,tates on 9 January 2023,5,"This book says it's for ages 6-8, but I have to say, my 2 and 4 year old absolutely Love it!  My 2 year old has been requesting ""Bundo!  Bundo!"" every night for going on two months now; her big brother just love this book and it was his #1 favorite for several months while he was 3 :-)The themes of inclusivity, love, good overcoming bad, having hope, teamwork, caring about one another, and engaging in the democratic process are all touched on so well here!  I seriously had conversations with my son about how the voting process works because of this book - and he (at 3 1/2) was the one who initiated the conversations!I cannot say enough good about the book... it's one of my favorite, as well :-)
"
Nivedita Nair,4 June 2021,5,"My book just arrived after the first publication sold out and I couldn't me more pleased. I'm a 28 year old female living in Wisconsin and I have no children. Yet this book still brought a little tear to my eye while also making chuckle- Dill Prickle the hedgehog was EVERYTHING! It warms hesrt to think of this book being a part of child's life... Being read to them at school or by a parent or guardian or reading alone and getting lost in the little details like I remember doing with books when I was young. Yes, the proceeds going towards an amazing organization is wonderful and nothing makes me happier than being part of a massive collective troll of the VP, but thinking of the potential subtle world changing effects this story could have in the future is the best part. Changing the way a child will precieve LGBTQ+ people as they are growing up is huge, and it is high time for that change to come. This book is a perfect example of how we start making that change. In summation, everyone should buy this book! 10/10 would HIGHLY recommend!
"
Kindle Customer,22 March 2018,1,"Bought two copies for some relatives with young kids. Love where the inspiration for this book came from, love the message.
"
Kate,tates 🇺🇸 on 23 March 2018,5,"The only thing that makes the Kindle version of this better, is buying the audible version with the all-star cast to read it while you do. It's a great addition for only a couple bucks more. As for the story, my headline says it all! If you're against boy bunnies falling in love and wanting to hop together for the rest of their lives, then this book is not for you. Also, if you're against that, you're a very sad, very boring person, frankly. I love this book SO much! Not since And Tango Makes Three have I been so moved by a book about gay animals. There really is a sweet message to be learned here, not just to poke fun at the hateful views of Mike Pence - though admittedly, that's a nice bonus. The illustrations are really cute, the story has some cute callback lines, like other children's books do. Yes, I bought this to support the efforts of a favorite Late Night TV host comedian, but it was seriously worth every penny! Oh... and the audible cast read by the stars truly is worth the extra couple dollars!
"
nightowl,tates 🇺🇸 on 19 March 2018,5,"I bought this for my twin 6 year old nieces... and I just got this text after they read it the other day... 5 Stars!“Yooo sol and naiya really like this book guys its a hit 4 real...the first thing naiya said when we were done reading it the first time is ' well this book sure teaches us a valuable lesson'...oh yea what's that I said.....'that no one can tell you who to love...even if the one in charge says no they can't decide who you love. Only you can decide that'....(😭my baby)...and then today before they asked to read it again naiya says so how come in fairy tales and princess stories the princess always gets married to the prince or it's always a girl and a boy who fall in love? Sooo times they are changing hallelujah but damn we need more of these all kind of different family structure books 📚  Thanks guys so much they need this in their lives and they love it! pretty soon they'll b able to read it to us ✨”
"
Rosemary Standeven,ingdom 🇬🇧 on 9 April 2018,5,"Well worth the read even if you're not a child. It does a really good job of showing that differences are a part of life and are wonderful.
"
Lacey,tates 🇺🇸 on 12 June 2020,5,"I bought one for myself and one as a gift. I love this book, the story, characters and illustrations are absolutely charming and I recommend it! Our world needs love and happiness, good messages and books about standing up for yourself, books about bunnies, books about true friends and taking care of each other. My only sadness is that this book is not compatible with iOS so you cannot read on the iPhone or iPad, only on a Mac computer. I hope this changes soon!! No matter, buy the book because the proceeds go to an excellent cause.
"
Elizabeth,tates 🇺🇸 on 28 April 2018,5,"I bought this book as a middle finger to Pence and was happy the proceeds will go to a good cause. It was worth it for that reason alone. But as a great bonus, it's an adorable little story.Even if you are straight as an arrow, even if all your friends are straight as arrows (*especially* if they are), you should read books like this to your kids. When mine were little, I rejigged some of the stories to make them more inclusive. Sometimes friends made fun of me, pointing out that I had a 5% chance of having a gay child, but I always told them that even if I don't have a gay kid, my kids will inevitably have gay friends and I want them growing up in a world where gay might be less common, but it's definitely normal. Two of my kids are straight, and behaved like it was the most normal thing in the world when my youngest came out to them. I wish I'd had this sort of book to read to my incredibly well-adjusted, happy, normal gay 13-year-old when she was small, though. The fact that books like this will be around for her children made me cry all the way through the damn book.I bought the audio version too so I could see the illustrations as I listened, which I definitely recommend.
"
